Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Forward or Backward,Layout,Calibrated Distance,Calibrated Time,Average Speed,X Pitch,Y Yaw,Z Roll,Total Rotation,Order,PPWS,Errors,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition,rotSpeedX,rotSpeedY,rotSpeedZ,Percent Stopped,Percent Slowed,Speed Variance,Speed Variance Corrected
OA03,Yes,None,No,10.09,1.49,Collocated,Forward,2,15.76275,21.64,0.73,325.74,262.68,187.22,775.64,4,45.69%,0,6,6,6,6,4,Yes,15.05268022,12.13863216,8.651571165,0,1.902748414,0.078077889,0.107090719
OA03,Yes,None,No,10.09,1.49,Collocated,Backward,2,15.47161,17.66,0.88,303.71,236.75,200.77,741.23,4,57.11%,0,6,6,6,6,4,Yes,17.19762174,13.40600227,11.36862967,1.308900524,2.617801047,0.12028633,0.137144819
OA03,Yes,None,No,10.09,1.49,HUD,Forward,6,15.98743,26.26,0.61,438.19,332.88,215.19,986.26,3,37.89%,0,3,3,4,2,3,No,16.68659558,12.67631379,8.194592536,0.34965035,7.342657343,0.09580103,0.15711716
OA03,Yes,None,No,10.09,1.49,HUD,Backward,6,15.70012,25.68,0.61,450.15,385.24,242.39,"1,077.79",3,39.25%,0,3,3,4,2,3,No,17.52920561,15.00155763,9.438862928,0.382409178,4.971319312,0.069658472,0.113759875
OA03,Yes,None,No,10.09,1.49,Combined,Forward,4,15.82273,25.22,0.63,517.99,494.04,252.19,"1,264.21",2,39.33%,0,4.5,4,5,5,3,No,20.53885805,19.58921491,9.999603489,0.201207243,6.036217304,0.093191918,0.148421348
OA03,Yes,None,No,10.09,1.49,Combined,Backward,4,16.07086,26.5,0.61,430.67,382.52,238.38,"1,051.57",2,38.04%,0,4.5,4,5,5,3,No,16.25169811,14.43471698,8.995471698,0.215982721,10.36717063,0.068254343,0.112547808
OA03,Yes,None,No,10.09,1.49,Control (last),Forward,5,N/A,14.91,N/A,N/A,N/A,N/A,N/A,6,67.66%,0,5.5,6,3,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA03,Yes,None,No,10.09,1.49,Control (last),Backward,5,N/A,13.96,N/A,N/A,N/A,N/A,N/A,6,72.26%,0,5.5,6,3,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA04,Yes,None,Yes,10.51,1.43,Control (first),Forward,6,N/A,22.05,N/A,N/A,N/A,N/A,N/A,1,47.68%,0,6,5,7,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA04,Yes,None,Yes,10.51,1.43,Control (first),Backward,6,N/A,18.94,N/A,N/A,N/A,N/A,N/A,1,55.50%,0,6,5,7,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA04,Yes,None,Yes,10.51,1.43,No Cues,Forward,5,15.56777,21.32,0.73,465.3,395.35,369.79,"1,230.44",2,46.36%,1,3,3,3,4,3,N/A,21.82457786,18.54362101,17.34474672,1.335877863,5.34351145,0.141202681,0.193013664
OA04,Yes,None,Yes,10.51,1.43,No Cues,Backward,5,15.32382,18.92,0.81,410.55,311.81,323.84,"1,046.21",2,55.20%,0,3,3,3,4,3,N/A,21.69926004,16.48044397,17.11627907,0.279329609,3.072625698,0.128877348,0.158953872
OA04,Yes,None,Yes,10.51,1.43,Collocated,Forward,3,15.63054,21.06,0.74,555.08,321.21,361.54,"1,237.83",5,48.17%,0,6,5,6,7,6,Yes,26.35707502,15.25213675,17.1671415,0.269541779,2.964959569,0.088684977,0.119490776
OA04,Yes,None,Yes,10.51,1.43,Collocated,Backward,3,15.55602,18.88,0.82,500.8,399.93,361.89,"1,262.62",5,55.66%,1,6,5,6,7,6,Yes,26.52542373,21.18273305,19.16790254,0,1.823708207,0.108889504,0.131176764
OA04,Yes,None,Yes,10.51,1.43,HUD,Forward,7,15.79477,28.86,0.55,631.87,410.36,365.81,"1,408.03",4,35.67%,0,3,3,2,3,3,No,21.89431739,14.21898822,12.67532918,0.188679245,15.8490566,0.06621681,0.120738947
OA04,Yes,None,Yes,10.51,1.43,HUD,Backward,7,15.51827,28.38,0.55,624.75,440.71,394.69,"1,460.15",4,36.95%,1,3,3,2,3,3,No,22.01374207,15.52889359,13.90732911,1.224489796,13.87755102,0.059053572,0.107845752
OA04,Yes,None,Yes,10.51,1.43,Combined,Forward,8,15.79812,25,0.63,576.77,351.9,301.57,"1,230.24",3,40.19%,2,2.5,2,2,6,3,No,23.0708,14.076,12.0628,0.759493671,10.63291139,0.082157637,0.129803824
OA04,Yes,None,Yes,10.51,1.43,Combined,Backward,8,15.86646,24.82,0.64,602.68,548.1,432.98,"1,583.76",3,42.23%,0,2.5,2,2,6,3,No,24.28203062,22.08299758,17.44480258,0.290697674,10.75581395,0.073388174,0.114524081
OA04,Yes,None,Yes,10.51,1.43,Control (last),Forward,2,N/A,17.29,N/A,N/A,N/A,N/A,N/A,6,60.80%,1,6,6,6,5,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA04,Yes,None,Yes,10.51,1.43,Control (last),Backward,2,N/A,14.95,N/A,N/A,N/A,N/A,N/A,6,70.32%,0,6,6,6,5,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA05,Yes,None,No,11.23,1.34,Control (first),Forward,4,N/A,17.74,N/A,N/A,N/A,N/A,N/A,1,63.32%,1,5,5,4,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA05,Yes,None,No,11.23,1.34,Control (first),Backward,4,N/A,17.61,N/A,N/A,N/A,N/A,N/A,1,63.78%,0,5,5,4,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA05,Yes,None,No,11.23,1.34,No Cues,Forward,2,15.56101,20.3,0.77,460.48,323.35,214.63,998.45,2,55.13%,0,3,3,4,3,2,N/A,22.68374384,15.92857143,10.5729064,0.145348837,3.197674419,0.167907095,0.218826088
OA05,Yes,None,No,11.23,1.34,No Cues,Backward,2,15.59507,21.7,0.72,406.99,376.21,186.33,969.52,2,51.75%,0,3,3,4,3,2,N/A,18.75529954,17.33686636,8.586635945,0.821596244,7.394366197,0.146586114,0.203969424
OA05,Yes,None,No,11.23,1.34,Collocated,Forward,5,15.59907,20.28,0.77,446.93,285.36,199.93,932.21,3,53.21%,0,5,5,5,6,5,No,22.03796844,14.07100592,9.858481262,0.663716814,2.876106195,0.082774496,0.107507001
OA05,Yes,None,No,11.23,1.34,Collocated,Backward,5,15.48671,18.52,0.84,430.19,276.98,211.92,919.09,3,60.61%,0,5,5,5,6,5,No,23.22840173,14.95572354,11.44276458,0.257069409,2.05655527,0.09095126,0.108647892
OA05,Yes,None,No,11.23,1.34,HUD,Forward,1,15.68278,21.84,0.72,432.26,318.38,183.58,934.23,4,50.94%,1,4,4,5,4,4,Yes,19.79212454,14.57783883,8.405677656,0.568181818,4.734848485,0.101107493,0.140674502
OA05,Yes,None,No,11.23,1.34,HUD,Backward,1,15.59067,19.58,0.8,442.3,351.11,208.78,"1,002.19",4,57.09%,1,4,4,5,4,4,Yes,22.58937692,17.93207354,10.66292135,0,2.654867257,0.10897004,0.136713467
OA05,Yes,None,No,11.23,1.34,Combined,Forward,6,15.42574,17.24,0.89,369.91,277.5,197.04,844.45,5,63.87%,0,5,5,4,5,5,No,21.45649652,16.0962877,11.42923434,0,1.066666667,0.157963875,0.176337295
OA05,Yes,None,No,11.23,1.34,Combined,Backward,6,15.46048,16.88,0.92,403.76,291.51,232.13,927.4,5,66.49%,0,5,5,4,5,5,No,23.91943128,17.26954976,13.75177725,0,2.727272727,0.088484118,0.096608416
OA05,Yes,None,No,11.23,1.34,Control (last),Forward,7,N/A,14.58,N/A,N/A,N/A,N/A,N/A,6,77.04%,0,6,5,6,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA05,Yes,None,No,11.23,1.34,Control (last),Backward,7,N/A,15.02,N/A,N/A,N/A,N/A,N/A,6,74.78%,0,6,5,6,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA06,No,None,Yes,10.32,1.45,Control (first),Forward,7,N/A,23.58,N/A,N/A,N/A,N/A,N/A,1,43.77%,3,5.5,6,5,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA06,No,None,Yes,10.32,1.45,Control (first),Backward,7,N/A,20.36,N/A,N/A,N/A,N/A,N/A,1,50.69%,2,5.5,6,5,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA06,No,None,Yes,10.32,1.45,No Cues,Forward,4,15.50469,19.82,0.78,317.51,219.49,211.61,748.61,5,51.44%,2,4,4,4,3,4,N/A,16.01967709,11.07416751,10.6765893,1.072386059,2.949061662,0.154383461,0.196754632
