Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Direction,Layout,Control Time,Order,PPWS,Errors,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition
OA07,No,None,Yes,13.19,1.14,Control (first),Backward,3,39.62,1,33.30%,2,4.5,5,3,4,5,N/A
OA07,No,None,Yes,13.19,1.14,No Cues,Forward,1,,4,27.02%,2,2,2,2,2,3,N/A
OA07,No,None,Yes,13.19,1.14,No Cues,Backward,1,,4,31.23%,2,2,2,2,2,3,N/A
OA07,No,None,Yes,13.19,1.14,Collocated,Forward,8,,3,23.77%,2,5,5,5,5,4,No
OA07,No,None,Yes,13.19,1.14,Collocated,Backward,8,,3,29.40%,2,5,5,5,5,4,No
OA07,No,None,Yes,13.19,1.14,HUD,Forward,5,,5,32.94%,2,4.5,5,5,3,4,Yes
OA07,No,None,Yes,13.19,1.14,HUD,Backward,5,,5,35.82%,3,4.5,5,5,3,4,Yes
OA07,No,None,Yes,13.19,1.14,Combined,Forward,2,,2,20.41%,3,5,6,5,5,5,No
OA07,No,None,Yes,13.19,1.14,Combined,Backward,2,,2,25.84%,2,5,6,5,5,5,No
OA07,No,None,Yes,13.19,1.14,Control (last),Forward,7,30.07,6,43.87%,2,4.5,6,5,4,4,N/A
OA07,No,None,Yes,13.19,1.14,Control (last),Backward,7,25.26,6,52.23%,0,4.5,6,5,4,4,N/A
OA08,Yes,None,Yes,11.69,1.28,Control (first),Forward,1,28.56,1,40.92%,2,3,3,3,1,7,N/A
OA08,Yes,None,Yes,11.69,1.28,Control (first),Backward,1,27.7,1,42.19%,1,3,3,3,1,7,N/A
OA08,Yes,None,Yes,11.69,1.28,No Cues,Forward,4,,4,42.27%,2,2.5,1,4,4,1,N/A
OA08,Yes,None,Yes,11.69,1.28,No Cues,Backward,4,,4,56.18%,2,2.5,1,4,4,1,N/A
OA08,Yes,None,Yes,11.69,1.28,Collocated,Forward,7,,5,68.66%,1,7,7,7,7,7,Yes
OA08,Yes,None,Yes,11.69,1.28,Collocated,Backward,7,,5,79.24%,0,7,7,7,7,7,Yes
OA08,Yes,None,Yes,11.69,1.28,HUD,Forward,2,,2,40.12%,2,5,5,5,4,5,No
OA08,Yes,None,Yes,11.69,1.28,HUD,Backward,2,,2,47.85%,1,5,5,5,4,5,No
OA08,Yes,None,Yes,11.69,1.28,Combined,Forward,3,,3,42.87%,2,7,7,7,7,5,No
OA08,Yes,None,Yes,11.69,1.28,Combined,Backward,3,,3,54.61%,0,7,7,7,7,5,No
OA08,Yes,None,Yes,11.69,1.28,Control (last),Forward,8,20.99,6,55.68%,1,5,5,6,4,5,N/A
OA08,Yes,None,Yes,11.69,1.28,Control (last),Backward,8,20.59,6,56.76%,2,5,5,6,4,5,N/A
OA09,Yes,None,No,13.49,1.11,Control (first),Forward,5,16.21,1,83.19%,0,7,7,7,7,7,N/A
OA09,Yes,None,No,13.49,1.11,Control (first),Backward,5,14.78,1,91.24%,0,7,7,7,7,7,N/A
OA09,Yes,None,No,13.49,1.11,No Cues,Forward,1,,5,79.39%,0,3,3,3,3,3,N/A
OA09,Yes,None,No,13.49,1.11,No Cues,Backward,1,,5,86.05%,0,3,3,3,3,3,N/A
OA09,Yes,None,No,13.49,1.11,Collocated,Forward,4,,2,60.40%,1,6.5,6,7,7,6,Yes
OA09,Yes,None,No,13.49,1.11,Collocated,Backward,4,,2,68.61%,0,6.5,6,7,7,6,Yes
OA09,Yes,None,No,13.49,1.11,HUD,Forward,6,,4,68.64%,0,5.5,5,6,4,6,No
OA09,Yes,None,No,13.49,1.11,HUD,Backward,6,,4,73.28%,0,5.5,5,6,4,6,No
OA09,Yes,None,No,13.49,1.11,Combined,Forward,7,,3,70.18%,0,7,7,7,7,6,No
OA09,Yes,None,No,13.49,1.11,Combined,Backward,7,,3,75.08%,0,7,7,7,7,6,No
OA09,Yes,None,No,13.49,1.11,Control (last),Forward,3,16.1,6,83.76%,0,7,7,7,6,7,N/A
OA09,Yes,None,No,13.49,1.11,Control (last),Backward,3,15.03,6,89.72%,0,7,7,7,6,7,N/A
OA10,No,None,Yes,9.33,1.61,Control (first),Forward,3,34.13,1,27.32%,2,4,4,2,4,4,N/A
OA10,No,None,Yes,9.33,1.61,Control (first),Backward,3,34.52,1,27.01%,2,4,4,2,4,4,N/A
OA10,No,None,Yes,9.33,1.61,No Cues,Forward,8,,2,22.01%,3,1,1,1,2,1,N/A
OA10,No,None,Yes,9.33,1.61,No Cues,Backward,8,,2,26.18%,1,1,1,1,2,1,N/A
OA10,No,None,Yes,9.33,1.61,Collocated,Forward,6,,3,15.53%,2,2.5,3,3,2,2,Yes
