"","Participant.ID","Eye.calibration.success","HUD.adjustment","White.Cane","PWS.average.time","Preferred.Walking.Speed..m.s.","Condition","Forward.or.Backward","Layout","Calibrated.Distance","Calibrated.Time","Average.Speed","X.Pitch","Y.Yaw","Z.Roll","Total.Rotation","Order","PPWS","Errors","Median.Rating","Confidence","Obstacle.location","Obstacle.size","Awareness","Preferred.Condition","rotSpeedX","rotSpeedY","rotSpeedZ","Percent.Stopped","Percent.Slowed","Speed.Variance","Speed.Variance.Corrected"
"68","OA16","Yes","3 shrink, 1 left","No",12.11,1.24,"Collocated","Combined",8,15.826365,22.17,0.71,604.45,508.64,494.22,1607.315,3,54.45,0,3,3,3,3,3,"Yes",27.30340626,22.928670725,22.34305311,0.740941342,5.1966997055,0.107923908,0.151496472
"69","OA16","Yes","3 shrink, 1 left","No",12.11,1.24,"HUD","Combined",5,16.02583,25.87,0.62,723.185,541.415,557.11,1821.71,5,45.545,0,0.5,1,1,0,0,"No",27.9856045,20.843638485,21.551405365,0.5477059485,8.0669689775,0.0643585995,0.103844171
"70","OA16","Yes","3 shrink, 1 left","No",12.11,1.24,"Combined","Combined",7,16.364405,29.45,0.56,900.96,755.55,665.15,2321.655,4,40.58,0.5,0.5,1,1,0,-1,"No",30.51267626,25.508253585,22.603233935,0.8893538075,12.6313504115,0.0615493775,0.1105955485
"71","OA17","Yes","None","Yes",13.06,1.15,"Control","Combined",6,9999,25.325,9999,9999,9999,9999,9999,1,52.425,2,3.25,5,3.5,2.5,3,"N/A",9999,9999,9999,9999,9999,9999,9999
"72","OA17","Yes","None","Yes",13.06,1.15,"No Cues","Combined",2,16.089445,24.65,0.66,692.27,427.55,406.805,1526.63,5,53.53,1,-1,-1,-1,-1,0,"N/A",28.214192475,17.290529475,16.362797205,5.867829198,13.92727257,0.2102511395,0.3175088955
"73","OA17","Yes","None","Yes",13.06,1.15,"Collocated","Combined",7,15.76787,23.82,0.665,632.39,450.005,298.545,1380.94,2,54.82,0,3,3,3,3,-1,"Yes",26.53952201,18.91842685,12.51880577,4.8306231325,8.230790968,0.102812612,0.1549752795
"74","OA17","Yes","None","Yes",13.06,1.15,"HUD","Combined",1,16.238015,33.68,0.495,1113.18,589.91,472.22,2175.305,4,39.89,2,0,0,0,0,-2,"No",32.83640671,17.61581406,14.135643275,9.437719327,22.70824355,0.075502559,0.1602989975
"75","OA17","Yes","None","Yes",13.06,1.15,"Combined","Combined",4,16.2885,30.03,0.545,729.535,909.12,326.105,1964.76,3,43.355,1.5,1,3,1,1,-2,"No",24.26902682,30.23962241,10.85241465,8.233690982,21.672313745,0.108005021,0.198803559
"76","OA18","No","3 shrink","Yes",13.44,1.12,"Control","Combined",1,9999,17.5225,9999,9999,9999,9999,9999,1,76.785,0.75,5,5,5,4,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"77","OA18","No","3 shrink","Yes",13.44,1.12,"No Cues","Combined",6,15.467245,18.84,0.82,518.415,341.16,188.645,1048.22,2,70.7,0.5,0,0,0,0,0,"N/A",27.520305905,18.111459345,10.0175267755,0.156739812,4.567295339,0.226689576,0.2759559865
"78","OA18","No","3 shrink","Yes",13.44,1.12,"Collocated","Combined",5,15.348595,18.33,0.84,534.225,302.795,178.68,1015.7,3,72.09,0.5,1,2,0,3,0,"No",29.12129002,16.497334365,9.751050893,0.096711799,2.771149761,0.1815831465,0.2168393105
"79","OA18","No","3 shrink","Yes",13.44,1.12,"HUD","Combined",2,15.29129,18.64,0.82,514.14,323.035,191.27,1028.44,4,71.71,1,1,2,3,0,0,"Yes",27.586351645,17.32856832,10.2640503915,0,3.282828283,0.129363798,0.157706939
"80","OA18","No","3 shrink","Yes",13.44,1.12,"Combined","Combined",8,15.2795,18.72,0.82,481.27,319.295,178.415,978.985,5,71.4,1,1.5,0,3,3,0,"No",25.730977255,17.0347568,9.5335744635,1.094890511,2.689515415,0.105999405,0.130697855
"81","OA19","Yes","3 shrink, 2 left","No",14.66,1.02,"Control","Combined",1,9999,17.6025,9999,9999,9999,9999,9999,1,84.1575,0.25,6.75,7,6,7,6.5,"N/A",9999,9999,9999,9999,9999,9999,9999
"82","OA19","Yes","3 shrink, 2 left","No",14.66,1.02,"No Cues","Combined",6,15.51355,20.63,0.755,684.15,306.945,294.62,1285.715,3,71.145,1,-0.5,-1,-1,0,0,"N/A",33.08206458,14.87935864,14.249089315,0.422951325,3.442495195,0.1502968445,0.199381326
"83","OA19","Yes","3 shrink, 2 left","No",14.66,1.02,"Collocated","Combined",3,15.35517,20.2,0.76,602.795,326.43,291.535,1220.76,5,72.52,0,1,1,1,2,1,"Yes",29.815452605,16.173291655,14.439031845,0.6739189925,3.605637657,0.1336797095,0.1747551525
"84","OA19","Yes","3 shrink, 2 left","No",14.66,1.02,"HUD","Combined",8,16.04389,32.78,0.51,796.64,454.09,400.925,1651.655,4,46.9,0.5,-1,-1,-1,-3,-1,"No",24.32737482,14.06600433,12.536903175,8.6476595335,22.5977133435,0.083979368,0.174349957
"85","OA19","Yes","3 shrink, 2 left","No",14.66,1.02,"Combined","Combined",2,15.68086,27.97,0.56,708.05,360.415,355.145,1423.615,2,52.605,1.5,0.5,0,1,1,-1,"No",25.240807155,12.94502414,12.78173825,0.9062374675,9.1616126875,0.060332767,0.107266912
"86","OA20","Yes","None","No",13.23,1.13,"Control","Combined",1,9999,30.835,9999,9999,9999,9999,9999,1,43.96,0,4.75,4,5,4.5,5,"N/A",9999,9999,9999,9999,9999,9999,9999
"87","OA20","Yes","None","No",13.23,1.13,"No Cues","Combined",4,16.66029,37.35,0.45,608.015,663.08,440.12,1711.22,3,35.235,1,0,0,0,0,0,"N/A",16.252644885,17.745639085,11.79537184,5.0563459645,33.076489645,0.1116348265,0.250402718
"88","OA20","Yes","None","No",13.23,1.13,"Collocated","Combined",8,16.33672,28.85,0.57,774.34,514.405,367.595,1656.345,5,45.755,0.5,2.5,2,3,2,3,"No",26.75154972,17.83380793,12.72443634,1.136399297,12.80126153,0.081975565,0.144160954
"89","OA20","Yes","None","No",13.23,1.13,"HUD","Combined",7,16.7035,37.57,0.45,722.915,581.56,426.43,1730.91,4,35.545,0,1.5,2,1,1,2,"No",19.562358105,15.573694095,11.4394073,3.9701337035,30.663656885,0.0751194945,0.1644588745
"90","OA20","Yes","None","No",13.23,1.13,"Combined","Combined",6,16.40073,31.22,0.53,742.925,586.34,459.72,1788.99,2,42.6,0,2.5,2,3,2,3,"Yes",23.621875175,18.663664925,14.681350305,1.526559427,18.2228716,0.0767700075,0.144493238
