Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Order,Layout,Forward or Backward,Time,PPWS,Errors,Total Distance,Total Time (Calibrated),Average Velocity,X Rotation (Pitch),Y Rotation (Yaw),Z Rotation (Roll),Total Rotation,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,HUD,5,1,Forward,28.58,42.38%,0,16.78,28.56,0.59,778.16,738.59,607.05,"2,123.81",4.5,5,5,4,4,No
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,HUD,5,1,Backward,24.87,48.71%,0,16.01,24.86,0.64,708.25,470.14,543.87,"1,722.27",4.5,5,5,4,4,No
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Combined,4,7,Forward,31.9,37.97%,1,17.12,31.9,0.54,"1,017.36",930.51,730.11,"2,677.98",4.5,5,5,4,3,No
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Combined,4,7,Backward,28.05,43.19%,0,16.19,28.04,0.58,809.42,631.39,643.44,"2,084.25",4.5,5,5,4,3,No
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Control (last),6,6,Forward,18.43,65.72%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Control (last),6,6,Backward,18.35,66.01%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,5,4,N/A
OA17,Yes,None,Yes,13.06,1.15,Control (first),1,6,Forward,27.56,47.37%,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5,4,2,2,N/A
OA17,Yes,None,Yes,13.06,1.15,Control (first),1,6,Backward,20.22,64.56%,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5,4,2,2,N/A
OA17,Yes,None,Yes,13.06,1.15,No Cues,5,2,Forward,27.35,47.74%,1,16.44,27.34,0.6,740,486.55,482.74,"1,709.29",3,3,3,3,4,N/A
OA17,Yes,None,Yes,13.06,1.15,No Cues,5,2,Backward,22.01,59.32%,1,15.76,22,0.72,647.36,369.28,331.24,"1,347.89",3,3,3,3,4,N/A
OA17,Yes,None,Yes,13.06,1.15,Collocated,2,7,Forward,24.55,53.17%,0,15.87,24.54,0.65,658.73,442.72,319.04,"1,420.49",7,7,7,7,3,Yes
OA17,Yes,None,Yes,13.06,1.15,Collocated,2,7,Backward,23.12,56.47%,0,15.67,23.1,0.68,606.05,457.29,278.05,"1,341.39",7,7,7,7,3,Yes
OA17,Yes,None,Yes,13.06,1.15,HUD,4,1,Forward,39.47,33.07%,3,16.89,39.46,0.43,"1,345.13",672.43,531.21,"2,548.77",4,4,4,4,2,No
OA17,Yes,None,Yes,13.06,1.15,HUD,4,1,Backward,27.95,46.71%,1,15.63,27.94,0.56,882.16,508.69,413.78,"1,804.62",4,4,4,4,2,No
OA17,Yes,None,Yes,13.06,1.15,Combined,3,4,Forward,30.58,42.70%,2,16.82,30.56,0.55,800.91,"1,005.93",347.68,"2,154.52",5,7,5,5,2,No
OA17,Yes,None,Yes,13.06,1.15,Combined,3,4,Backward,29.66,44.01%,1,15.92,29.66,0.54,660.81,814.81,305.29,"1,780.91",5,7,5,5,2,No
OA17,Yes,None,Yes,13.06,1.15,Control (last),6,3,Forward,25.57,51.06%,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5,5,3,3,4,N/A
OA17,Yes,None,Yes,13.06,1.15,Control (last),6,3,Backward,27.95,46.71%,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5,5,3,3,4,N/A
OA18,No,3 shrink,Yes,13.44,1.12,Control (first),1,1,Forward,17.4,77.26%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,5,4,7,N/A
OA18,No,3 shrink,Yes,13.44,1.12,Control (first),1,1,Backward,16.76,80.21%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,5,4,7,N/A
OA18,No,3 shrink,Yes,13.44,1.12,No Cues,2,6,Forward,18.74,71.72%,1,15.44,18.74,0.82,526.37,351.17,201.23,"1,078.77",4,4,4,4,4,N/A
OA18,No,3 shrink,Yes,13.44,1.12,No Cues,2,6,Backward,19.29,69.68%,0,15.78,19.28,0.82,515.98,337.3,179.58,"1,032.85",4,4,4,4,4,N/A
OA18,No,3 shrink,Yes,13.44,1.12,Collocated,3,5,Forward,18.85,71.33%,1,15.58,18.84,0.83,578.15,341.43,180.18,"1,099.76",5,6,4,7,4,No
OA18,No,3 shrink,Yes,13.44,1.12,Collocated,3,5,Backward,18.45,72.85%,0,15.65,18.44,0.85,507.52,277.82,184.59,969.93,5,6,4,7,4,No
OA18,No,3 shrink,Yes,13.44,1.12,HUD,4,2,Forward,18.81,71.45%,2,15.3,18.8,0.81,507.14,330.39,184.81,"1,022.34",5,6,7,4,4,Yes
OA18,No,3 shrink,Yes,13.44,1.12,HUD,4,2,Backward,18.68,71.97%,0,15.43,18.66,0.83,525.96,317.8,199.33,"1,043.09",5,6,7,4,4,Yes
OA18,No,3 shrink,Yes,13.44,1.12,Combined,5,8,Forward,19.06,70.52%,1,15.18,19.06,0.8,467.23,347.35,178.71,993.29,5.5,4,7,7,4,No
OA18,No,3 shrink,Yes,13.44,1.12,Combined,5,8,Backward,18.6,72.28%,1,15.54,18.58,0.84,499.16,296.8,181.68,977.65,5.5,4,7,7,4,No
OA18,No,3 shrink,Yes,13.44,1.12,Control (last),6,4,Forward,18.13,74.15%,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,5,4,7,N/A
OA18,No,3 shrink,Yes,13.44,1.12,Control (last),6,4,Backward,17.8,75.52%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,5,4,7,N/A
